 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Stephen Gostkowski	NE	  vs.  BUF	1	12	1.3898305084746	1.5128483535253		
2	Steven Hauschka	SEA	  vs.  SF	1	19	3.2033898305085	2.6539363857405		
3	Justin Tucker	BAL	  vs.  STL	1	25	4.8034188034188	3.707786485152		
4	Dan Bailey	DAL	  at  MIA	2	16	5.9576271186441	2.7934368231067		
5	Matt Bryant	ATL	  vs.  IND	1	17	5.8362068965517	2.9271145186804		
6	Graham Gano	CAR	  vs.  WAS	2	20	6.9322033898305	3.5168572583461		
7	Chandler Catanzaro	ARI	  vs.  CIN	2	24	7.7542372881356	3.064107248748		
8	Cairo Santos	KC	  at  SD	2	20	8.4655172413793	3.1388308675716		
9	Sebastian Janikowski	OAK	  at  DET	1	26	8.8793103448276	4.4531181876682		
10	Brandon McManus	DEN	  at  CHI	1	26	10.042372881356	3.7673757170161		
11	Mason Crosby	GB	  at  MIN	2	21	10.700854700855	3.208602105998		
12	Blair Walsh	MIN	  vs.  GB	2	22	11.470085470085	3.4233303362348		
13	Caleb Sturgis	PHI	  vs.  TB	4	21	12.87610619469	3.1373647229246		
14	Mike Nugent	CIN	  at  ARI	4	21	14.504424778761	2.9988903369732		
15	Josh Lambo	SD	  vs.  KC	5	24	14.481818181818	3.2800549279819		
16	Matt Prater	DET	  vs.  OAK	1	27	17.018691588785	4.5815177430756		
17	Robbie Gould	CHI	  vs.  DEN	4	25	16.844036697248	3.530143620351		
18	Adam Vinatieri	IND	  at  ATL	2	26	16.675925925926	3.4529340816602		
19	Dan Carpenter	BUF	  at  NE	8	25	16.704761904762	3.2686790969058		
20	Greg Zuerlein	LA	  	5	25	18.722772277228	3.3511304783305		
21	Connor Barth	TB	  at  PHI	5	27	19.254901960784	5.1671782311762		
22	Jason Myers	JAC	  vs.  TEN	9	28	19.317073170732	4.955603009702		
23	Andrew Franks	MIA	  vs.  DAL	6	28	19.644444444444	5.0734846913714		
24	Nick Novak	HOU	  vs.  NYJ	3	28	21.179487179487	5.5556475995005		
25	Dustin Hopkins	WAS	  at  CAR	11	27	23	4.4848952846511		
26	Ryan Succop	TEN	  at  JAC	7	28	23.34375	4.0435857771908		
27	Randy Bullock	FA		13	27	19.825	3.5276585719142		
28	Phil Dawson	SF	  at  SEA	19	28	26.137931034483	2.6745819902987		
