 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Devonta Freeman	ATL	  vs.  IND	1	6	1.6466165413534	1.0843763234478		
2	Adrian Peterson	MIN	  vs.  GB	1	6	2.1052631578947	0.9279548042431		
3	Todd Gurley	LA	  	1	18	3.6466165413534	2.1104661806283		
4	Charcandrick West	KC	  at  SD	1	19	4.0300751879699	2.2036874415877		
5	DeMarco Murray	TEN	  at  JAC	2	17	6.8195488721805	2.509634327574		
6	Lamar Miller	HOU	  vs.  NYJ	1	16	7.5563909774436	2.6455055768059		
7	Darren McFadden	DAL	  at  MIA	2	21	8.8195488721805	3.3869155272851		
8	Chris Ivory	JAC	  vs.  TEN	4	16	8.8721804511278	2.5203339492134		
9	Jonathan Stewart	CAR	  vs.  WAS	2	22	10.84962406015	3.3683539198466		
10	Latavius Murray	OAK	  at  DET	4	17	10.87969924812	2.3842767979826		
11	LeSean McCoy	BUF	  at  NE	6	19	11.977443609023	2.570702971099		
12	LeGarrette Blount	NE	  vs.  BUF	3	26	12.315789473684	3.3925358604886		
13	Jeremy Langford	CHI	  vs.  DEN	5	22	12.428571428571	3.4210443691547		
14	Frank Gore	IND	  at  ATL	6	23	14.90977443609	2.9365691367624		
15	Doug Martin	TB	  at  PHI	5	24	15.842105263158	2.6066488302527		
16	Justin Forsett	BAL	  vs.  STL	8	25	17.157894736842	2.7084998629715		
17	Danny Woodhead	SD	  vs.  KC	6	28	18.69696969697	2.752242595069		
18	James Starks	GB	  at  MIN	9	34	19.548872180451	3.3301226363508		
19	Chris Johnson	ARI	  vs.  CIN	10	37	19.676691729323	3.0424289667552		
20	T.J. Yeldon	JAC	  vs.  TEN	4	31	19.765625	3.1262107029717		
21	Giovani Bernard	CIN	  at  ARI	17	27	21.406015037594	1.9351811866949		
22	Ronnie Hillman	DEN	  at  CHI	13	43	23.270676691729	4.0320666160449		
23	Matt Jones	WAS	  at  CAR	18	37	25.015037593985	2.8363509396268		
24	Karlos Williams	BUF	  at  NE	20	44	26.643939393939	4.4926414174089		
25	Antonio Andrews	TEN	  at  JAC	13	41	26.625	3.5968736424845		
26	Melvin Gordon	SD	  vs.  KC	23	39	27.568181818182	2.8476284173511		
27	Jeremy Hill	CIN	  at  ARI	19	45	28.285714285714	3.7847565819393		
28	Joique Bell	FA		15	51	30.751879699248	4.3913894131594		
29	C.J. Anderson	DEN	  at  CHI	22	48	32.045112781955	3.8071256136892		
30	Charles Sims	TB	  at  PHI	25	43	32.541353383459	2.9748602752188		
31	Alfred Blue	HOU	  vs.  NYJ	25	44	32.564885496183	3.8325628454062		
32	Shaun Draughn	SF	  at  SEA	21	48	32.932330827068	4.7670477437619		
33	Andre Ellington	ARI	  vs.  CIN	17	47	33.278195488722	4.6491221314742		
34	Theo Riddick	DET	  vs.  OAK	22	49	35.409090909091	4.3256713359763		
35	Darren Sproles	PHI	  vs.  TB	22	50	35.449612403101	5.4159701262016		
36	Eddie Lacy	GB	  at  MIN	20	60	35.12	5.5362080885747		
37	Jay Ajayi	MIA	  vs.  DAL	23	51	36.546153846154	4.8881513549234		
38	Alfred Morris	DAL	  at  MIA	22	55	37.625954198473	4.1265032012175		
39	James White	NE	  vs.  BUF	26	50	40.1328125	4.0202050121659		
40	Dexter McCluster	TEN	  at  JAC	20	57	40.153225806452	5.0784877651984		
41	Ameer Abdullah	DET	  vs.  OAK	27	52	41.387096774194	4.5289564371927		
42	Chris Thompson	WAS	  at  CAR	30	65	43.047244094488	4.3013608315753		
43	Ahmad Bradshaw	FA		27	56	45.069565217391	4.8431426001871		
44	Thomas Rawls	SEA	  vs.  SF	24	62	45.495495495495	4.6574049803384		
45	Jonathan Grimes	HOU	  vs.  NYJ	29	62	45.384615384615	5.7064533177321		
46	Tevin Coleman	ATL	  vs.  IND	33	64	48.893805309735	5.0752964634772		
47	Chris Polk	FA		32	92	47.847222222222	6.6136637228926		
