 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  NO	1	9	1.8484848484848	1.4380376385097		
2	Odell Beckham Jr.	NYG	  vs.  PHI	1	5	2.2626262626263	0.98047461796927		
3	Antonio Brown	PIT	  at  CLE	1	4	2.5353535353535	0.89118161616617		
4	DeAndre Hopkins	HOU	  vs.  JAC	1	9	3.8686868686869	1.1861700071184		
5	Brandon Marshall	NYJ	  at  BUF	2	8	5.0606060606061	0.88555389067894		
6	Allen Robinson	JAC	  at  HOU	2	24	6.7474747474747	2.9382308782338		
7	A.J. Green	CIN	  vs.  BAL	4	25	8.6363636363636	3.0399845342993		
8	Eric Decker	NYJ	  at  BUF	5	29	8.7070707070707	3.0624890030807		
9	Brandin Cooks	NO	  at  ATL	6	22	10.191919191919	3.4950954602555		
10	Jeremy Maclin	KC	  vs.  OAK	6	30	12.464646464646	3.0428360352867		
11	Doug Baldwin	SEA	  at  ARI	6	58	12.555555555556	5.9002178049546		
12	Demaryius Thomas	DEN	  vs.  SD	5	26	14.050505050505	3.5172697669657		
13	Sammy Watkins	BUF	  vs.  NYJ	6	28	16.232323232323	3.9359218057753		
14	Jarvis Landry	MIA	  vs.  NE	7	27	17.070707070707	3.3941498251262		
15	Allen Hurns	JAC	  at  HOU	10	35	18.686868686869	4.0293029315342		
16	Jordan Matthews	PHI	  at  NYG	5	42	18.959595959596	5.094895825541		
17	Michael Floyd	ARI	  vs.  SEA	8	43	19.171717171717	6.6742992732342		
18	Mike Evans	TB	  at  CAR	12	43	20.343434343434	3.9928259306356		
19	Emmanuel Sanders	DEN	  vs.  SD	12	32	20.383838383838	3.661724136339		
20	John Brown	ARI	  vs.  SEA	5	36	21.616161616162	5.0885235712824		
21	Larry Fitzgerald	ARI	  vs.  SEA	12	31	22.535353535354	4.0359824290923		
22	Golden Tate	DET	  at  CHI	13	45	23.747474747475	3.8568931714828		
23	Amari Cooper	OAK	  at  KC	14	42	24.333333333333	4.6645016622975		
24	Kamar Aiken	BAL	  at  CIN	12	42	25.636363636364	3.6277676176914		
25	Randall Cobb	GB	  vs.  MIN	10	45	28.181818181818	5.0299379203022		
26	Michael Crabtree	OAK	  at  KC	8	51	29.424242424242	6.3231032355236		
27	Willie Snead	NO	  at  ATL	15	46	29.34693877551	4.6205001072557		
28	T.Y. Hilton	IND	  vs.  TEN	19	42	29.737373737374	4.7643157130753		
29	Tyler Lockett	SEA	  at  ARI	24	63	33	5.1247074319054		
30	Stefon Diggs	MIN	  at  GB	21	50	33.767676767677	4.7115338445402		
31	Tavon Austin	LA	  	9	57	33.80412371134	5.7412222113014		
32	Travis Benjamin	SD	  at  DEN	7	77	35.897959183673	7.1206652348		
33	Devante Parker	MIA	  vs.  NE	23	49	36.868686868687	4.9249856988901		
34	James Jones	FA		18	53	39.030303030303	6.6673553363309		
35	Rueben Randle	PHI	  at  NYG	25	51	39.323232323232	4.8488846636499		
36	DeSean Jackson	WAS	  at  DAL	19	81	37.310344827586	11.956155866309		
37	Markus Wheaton	PIT	  at  CLE	27	61	39.80612244898	4.9438854489101		
38	Nate Washington	NE	  at  MIA	23	62	40.878787878788	7.6584576964515		
39	Anquan Boldin	FA		23	58	41.707070707071	4.8580923330267		
40	Marvin Jones	DET	  at  CHI	23	59	41.816326530612	4.5475872472036		
41	Dorial Green-Beckham	TEN	  at  IND	26	54	41.666666666667	5.0097127883964		
42	Brandon LaFell	CIN	  vs.  BAL	17	61	43.632653061224	6.8278955958178		
43	Donte Moncrief	IND	  vs.  TEN	24	73	45.083333333333	5.3999742797741		
44	Danny Amendola	NE	  at  MIA	21	78	43.865853658537	10.76439727349		
45	Keshawn Martin	NE	  at  MIA	25	78	46.402173913043	8.3315270569199		
46	Jermaine Kearse	FA		34	64	46.787234042553	4.32182078558		
47	Terrance Williams	DAL	  vs.  WAS	33	60	47.723404255319	5.8444449990753		
48	Pierre Garcon	WAS	  at  DAL	32	68	48.098901098901	5.6802239258115		
49	Dontrelle Inman	SD	  at  DEN	29	65	50.227272727273	5.6341637935804		
50	Devin Funchess	CAR	  vs.  TB	11	80	52.445652173913	8.2795769300059		
51	Davante Adams	GB	  vs.  MIN	41	86	53.868131868132	7.3413008866199		
52	Ted Ginn	CAR	  vs.  TB	17	133	40.137931034483	20.709358434144		
53	Roddy White	FA		36	78	53.976744186047	5.8428583801799		
54	Philly Brown	CAR	  vs.  TB	24	76	57.93023255814	10.352834346964		
55	Steve Johnson	SD	  at  DEN	32	94	55.815384615385	11.701271867349		
56	Kenny Britt	LA	  	42	75	57.012345679012	5.8930673376382		
57	Brice Butler	DAL	  vs.  WAS	14	102	57.066666666667	11.939942303974		
58	Josh Bellamy	CHI	  vs.  DET	36	90	60.714285714286	11.883791053192		
59	Jamison Crowder	WAS	  at  DAL	35	89	61.935897435897	10.617281200573		
60	Dwayne Harris	NYG	  vs.  PHI	45	133	60.894736842105	13.028557312017		
61	Marc Mariani	CHI	  vs.  DET	31	85	66.818181818182	11.99862251047		
62	Albert Wilson	KC	  vs.  OAK	50	76	64.192307692308	5.9227022858543		
63	Chris Hogan	NE	  at  MIA	44	80	62.9	6.6875506228614		
64	Mike Wallace	BAL	  at  CIN	50	88	62.828947368421	5.7842530289133		
65	Jerricho Cotchery	FA		40	82	64.575757575758	10.111590418412		
66	Eddie Royal	CHI	  vs.  DET	52	133	61.190476190476	16.715031865044		
67	J.J. Nelson	ARI	  vs.  SEA	53	107	67.957142857143	12.460721962901		
68	Cole Beasley	DAL	  vs.  WAS	45	75	64.788732394366	5.876464139901		
69	Brandon Coleman	NO	  at  ATL	37	99	71.327272727273	11.111099357202		
70	Nelson Agholor	PHI	  at  NYG	46	84	65.038461538462	6.1902369527		
71	Jeremy Butler	BAL	  at  CIN	51	115	65.792452830189	9.0477944577484		
72	Jaelen Strong	HOU	  vs.  JAC	51	84	69.542857142857	7.6395319869474		
73	Torrey Smith	SF	  vs.  STL	52	85	71.5	7.5956859100706		
74	Seth Roberts	OAK	  at  KC	49	108	71.977272727273	8.8971104511614		
75	Jared Abbrederis	GB	  vs.  MIN	49	102	78.583333333333	14.395938856343		
76	Adam Humphries	TB	  at  CAR	49	96	83.666666666667	11.130538571376		
77	Marqise Lee	JAC	  at  HOU	50	99	75.238805970149	8.4378138787191		
78	Justin Hardy	ATL	  vs.  NO	54	89	77.731707317073	8.3110986337369		
79	Chris Givens	PHI	  at  NYG	54	87	78.352941176471	7.6512808857484		
80	Andre Holmes	OAK	  at  KC	46	97	79.7	9.5765338197074		
81	Kenny Stills	MIA	  vs.  NE	53	90	73.015625	8.3094302367476		
82	Harry Douglas	TEN	  at  IND	54	87	73.491228070175	6.6810095019786		
83	Kendall Wright	TEN	  at  IND	51	133	78.333333333333	19.909517545357		
84	Jordan Norwood	FA		51	130	78.025641025641	14.552270383244		
85	Devin Street	DAL	  vs.  WAS	51	122	85.166666666667	14.170587692667		
86	TJ Jones	DET	  at  CHI	51	117	85.766666666667	12.859972351793		
87	Marques Colston	FA		58	133	71	22.420228961067		
88	Darius Jennings	CLE	  vs.  PIT	56	111	83.230769230769	13.015693758831		
89	Josh Huff	PHI	  at  NYG	57	100	78.55	8.3215082767489		
90	Mohamed Sanu	ATL	  vs.  NO	57	86	76.85	6.5098003041568		
91	Quincy Enunwa	NYJ	  at  BUF	58	119	77.934782608696	10.542671416909		
92	Julian Edelman	NE	  at  MIA	58	133	95.5	37.5		
93	Leonard Hankerson	BUF	  vs.  NYJ	58	133	95.5	37.5		
94	Javontee Herndon	SD	  at  DEN	58	119	79.170731707317	11.742984286475		
95	Jarius Wright	MIN	  at  GB	59	88	75.611111111111	6.2417847241963		
96	Andre Johnson	FA		59	83	69.515151515152	5.0579742748379		
97	Kenbrell Thompkins	NYJ	  at  BUF	63	125	93.333333333333	18.015425489162		
98	Donteea Dye	TB	  at  CAR	63	100	90.285714285714	9.8519655140381		
99	Lance Moore	FA		64	101	82.777777777778	10.997755102017		
100	Riley Cooper	FA		65	112	91.357142857143	10.327543912533		
101	Hakeem Nicks	FA		65	111	82.2	15.380507143784		
102	Chris Matthews	BAL	  at  CIN	66	128	89.111111111111	17.495678478759		
103	Ryan Grant	WAS	  at  DAL	66	106	92	12.409673645991		
104	Brian Quick	LA	  	67	131	85.2	18.44884820253		
105	Taylor Gabriel	CLE	  vs.  PIT	68	100	84.357142857143	8.1993653313372		
106	Rishard Matthews	TEN	  at  IND	68	77	74.363636363636	2.9931050242099		
107	Quinton Patton	SF	  vs.  STL	69	99	85.071428571429	7.3237801101645		
108	Jaron Brown	ARI	  vs.  SEA	72	126	96.2	22.877062748526		
109	Phillip Dorsett	IND	  vs.  TEN	72	111	92	8.9740366242474		
110	Andre Caldwell	FA		73	132	104.71428571429	17.276857234994		
111	Cameron Meredith	CHI	  vs.  DET	76	102	86.8	8.9755222689267		
112	Jeff Janis	GB	  vs.  MIN	77	133	106	18.37700426387		
113	Keith Mumphery	HOU	  vs.  JAC	78	128	101.33333333333	20.548046676563		
114	Tre McBride	TEN	  at  IND	78	116	96.444444444444	10.792086721412		
115	Ben Edwards	NYG	  vs.  PHI	78	114	96	18		
116	Greg Jennings	FA		79	119	100.4	15.304901175767		
117	Cody Latimer	DEN	  vs.  SD	80	113	96.5	16.5		
118	Jeremy Kerley	DET	  at  CHI	81	100	92.875	5.9882697835017		
119	Rashad Greene	JAC	  at  HOU	83	105	97.571428571429	6.521549834579		
120	Bruce Ellington	SF	  vs.  STL	84	127	111	14.059397805975		
121	Jason Avant	FA		84	113	104.6	10.613199329137		
122	Greg Salas	BUF	  vs.  NYJ	85	118	98.3	12.96186714945		
123	Wes Welker	FA		87	110	98.75	7.0311805552126		
124	Marlon Moore	CLE	  vs.  PIT	89	133	106.33333333333	19.13693345921		
125	Bennie Fowler	DEN	  vs.  SD	89	123	109.2	13.317657451669		
126	Deonte Thompson	CHI	  vs.  DET	90	104	95.666666666667	6.0184900284226		
127	Dwayne Bowe	FA		93	133	102.5	11.937336386313		
128	Nick Williams	KC	  vs.  OAK	93	106	98.333333333333	5.557777333511		
129	Terrelle Pryor	CLE	  vs.  PIT	94	132	114	12.083045973595		
130	Chris Conley	KC	  vs.  OAK	94	108	103	5.7735026918963		
131	Daniel Brown	BAL	  at  CIN	95	121	108	13		
132	Brenton Bersin	CAR	  vs.  TB	96	114	103.33333333333	7.7172246018602		
133	Charles Johnson	MIN	  at  GB	98	137	117.5	19.5		
134	Lucky Whitehead	DAL	  vs.  WAS	101	122	114.66666666667	9.6724120856979		
135	Rashad Ross	WAS	  at  DAL	104	117	110.33333333333	5.3124591501697		
136	Nick Williams	ATL	  vs.  NO	104	110	107	3		
137	De'Anthony Thomas	KC	  vs.  OAK	105	124	114.5	9.5		
138	Eric Weems	ATL	  vs.  NO	106	135	120.5	14.5		
139	T.J. Graham	PHI	  at  NYG	106	133	119.5	13.5		
140	Myles White	NYG	  vs.  PHI	109	129	117.66666666667	8.3798700599844		
141	Dezmin Lewis	BUF	  vs.  NYJ	114	117	115.5	1.5		
142	Russell Shepard	TB	  at  CAR	116	124	119.4	2.8		
143	Adam Thielen	MIN	  at  GB	117	131	124	7		
144	Darrius Heyward-Bey	PIT	  at  CLE	117	127	122	5		
145	Marcus Easley	BUF	  vs.  NYJ	120	133	126.5	6.5		
146	Jerome Simpson	SF	  vs.  STL	123	134	128.5	5.5		
147	Tyrell Williams	SD	  at  DEN	132	136	134	2		
