 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Aaron Rodgers	GB	  at  CHI	1	3	1.1347517730496	0.41633078358693		
2	Matt Ryan	ATL	  vs.  PHI	1	14	3.8156028368794	2.152362504993		
3	Andrew Luck	IND	  at  BUF	1	11	4.5177304964539	2.5337518417266		
4	Tom Brady	NE	  vs.  PIT	1	15	4.6074074074074	2.7731418104175		
5	Tony Romo	DAL	  vs.  NYG	2	14	5.3191489361702	2.2481486439592		
6	Ben Roethlisberger	PIT	  at  NE	2	15	7.0220588235294	2.8218342797588		
7	Ryan Tannehill	MIA	  at  WAS	3	20	8.3333333333333	2.4017330228405		
8	Sam Bradford	PHI	  at  ATL	2	18	8.5886524822695	3.0552151019114		
9	Drew Brees	NO	  at  ARI	3	21	9.5602836879433	2.6984860329221		
10	Eli Manning	NYG	  at  DAL	3	24	10.22695035461	3.0628610236212		
11	Russell Wilson	SEA	  at  STL	3	17	10.943262411348	2.5813654357143		
12	Carson Palmer	ARI	  vs.  NO	5	22	13.404255319149	2.5431836958227		
13	Matthew Stafford	DET	  at  SD	2	21	14.609929078014	2.8602758624221		
14	Cam Newton	CAR	  at  JAC	7	22	14.801418439716	2.6126258038352		
15	Philip Rivers	SD	  vs.  DET	11	26	15.503546099291	2.3266086891774		
16	Teddy Bridgewater	MIN	  at  SF	10	25	18.163120567376	2.8424944431296		
17	Joe Flacco	BAL	  at  DEN	12	29	18.81884057971	2.9321691709465		
18	Jay Cutler	CHI	  vs.  GB	13	26	19.079136690647	2.5019840995804		
19	Andy Dalton	CIN	  at  OAK	9	26	19.485294117647	3.0485900649453		
20	Colin Kaepernick	SF	  vs.  MIN	11	28	20.175182481752	3.2597922333573		
21	Tyrod Taylor	BUF	  vs.  IND	8	38	22.240601503759	4.0895067922192		
22	Marcus Mariota	TEN	  at  TB	16	28	22.430769230769	2.4742938745256		
23	Jameis Winston	TB	  vs.  TEN	15	30	23.68992248062	2.6171718258616		
24	Blake Bortles	JAC	  vs.  CAR	14	31	25.4296875	2.7717424397559		
25	Alex Smith	KC	  at  HOU	15	31	24.84375	2.9379986278928		
26	Ryan Fitzpatrick	FA		16	35	27.111111111111	2.8126022193095		
27	Derek Carr	OAK	  vs.  CIN	16	31	25.702479338843	2.6336808547382		
28	Kirk Cousins	WAS	  vs.  MIA	18	39	28.304347826087	2.6773572727549		
29	Nick Foles	LA	  	18	32	29.745283018868	2.114912553412		
30	Brian Hoyer	CHI	  vs.  GB	22	37	30.084210526316	1.9717112946278		
31	Jimmy Garoppolo	NE	  vs.  PIT	23	40	30.5	4.7169905660283		
32	Robert Griffin	CLE	  at  NYJ	25	31	29.2	2.1354156504063		
33	Josh McCown	CLE	  at  NYJ	27	33	31.315217391304	1.1318448563421		
34	Ryan Mallett	BAL	  at  DEN	30	56	37.4	9.5205041883295		
35	Johnny Manziel	FA		31	64	43	14.899664425751		
36	E.J. Manuel	BUF	  vs.  IND	31	37	34	3		
37	Matt Cassel	TEN	  at  TB	32	61	39.75	12.275483697191		
38	Mark Sanchez	DEN	  vs.  BAL	32	36	33.8	1.3266499161422		
39	Brock Osweiler	HOU	  vs.  KC	33	40	36.5	3.5		
40	Derek Anderson	CAR	  at  JAC	35	52	43.5	8.5		
41	Zach Mettenberger	TEN	  at  TB	36	58	44.333333333333	9.7410927974683		
42	Colt McCoy	WAS	  vs.  MIA	37	54	45.5	8.5		
43	Mike Glennon	TB	  vs.  TEN	38	48	43	5		
44	Jimmy Clausen	FA		38	44	41	3		
45	Brandon Weeden	HOU	  vs.  KC	39	53	46	7		
46	Matt Hasselbeck	FA		42	50	46	4		
47	Matt Schaub	ATL	  vs.  PHI	43	49	46	3		
48	Matt Moore	MIA	  at  WAS	45	54	49.5	4.5		
49	Chad Henne	JAC	  vs.  CAR	46	55	50.5	4.5		
50	AJ McCarron	CIN	  at  OAK	47	63	55	8		
51	Bryce Petty	NYJ	  vs.  CLE	48	60	54	6		
