 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Jeremy Hill	RB1	CIN	  vs.  SD	1	19	4.3035714285714	3.4714120369977		
2	Antonio Brown	WR1	PIT	  vs.  SF	1	12	5.6517857142857	2.9420286411777		
3	Julio Jones	WR2	ATL	  at  NYG	1	21	6.1160714285714	3.886206228707		
4	Adrian Peterson	RB2	MIN	  vs.  DET	1	27	6.2946428571429	4.3785972820257		
5	Matt Forte	RB3	NYJ	  at  IND	1	32	7.125	5.5422484478001		
6	Jamaal Charles	RB4	KC	  vs.  DEN	1	23	7.2053571428571	3.6108427806725		
7	DeMarco Murray	RB5	TEN	  at  CLE	1	34	7.2142857142857	5.1468238670434		
8	Eddie Lacy	RB6	GB	  vs.  SEA	2	30	10.294642857143	5.129812014199		
9	Justin Forsett	RB7	BAL	  at  OAK	1	26	11.473214285714	5.1146844292903		
10	Carlos Hyde	RB8	SF	  at  PIT	2	39	11.651785714286	5.4555178840008		
11	Odell Beckham Jr.	WR3	NYG	  vs.  ATL	3	32	12.294642857143	4.5760213396596		
12	Mark Ingram	RB9	NO	  vs.  TB	2	29	13.107142857143	5.5426224177104		
13	Rob Gronkowski	TE1	NE	  at  BUF	3	87	13.160714285714	9.3861158589891		
14	Lamar Miller	RB10	HOU	  at  CAR	1	34	16.4375	5.6407022897356		
15	A.J. Green	WR4	CIN	  vs.  SD	10	41	18.508928571429	5.1582034796773		
16	Jordan Matthews	WR5	PHI	  vs.  DAL	11	40	19.357142857143	5.6865397821415		
17	Demaryius Thomas	WR6	DEN	  at  KC	12	42	19.723214285714	5.3103837321471		
18	Chris Ivory	RB11	JAC	  vs.  MIA	6	91	21.151785714286	9.9086991194503		
19	Brandin Cooks	WR7	NO	  vs.  TB	12	44	21.892857142857	5.6558394963227		
20	LeSean McCoy	RB12	BUF	  vs.  NE	5	80	21.982142857143	9.4990433191765		
21	DeAndre Hopkins	WR8	HOU	  at  CAR	12	81	24.125	9.8923897517233		
22	Ameer Abdullah	RB13	DET	  at  MIN	10	65	25.017857142857	7.8762551639826		
23	Jonathan Stewart	RB14	CAR	  vs.  HOU	16	69	27.991071428571	7.6339181286478		
24	Randall Cobb	WR9	GB	  vs.  SEA	13	54	29.4375	6.8410280790661		
25	Joseph Randle	RB15	FA		15	75	30.107142857143	8.6078837855367		
26	C.J. Anderson	RB16	DEN	  at  KC	9	99	30.419642857143	12.672832579449		
27	Keenan Allen	WR10	SD	  at  CIN	8	56	31.9375	7.2151641526718		
28	Doug Martin	RB17	TB	  at  NO	17	66	32.660714285714	9.813032125179		
29	Jarvis Landry	WR11	MIA	  at  JAC	15	70	34.660714285714	7.0185386801016		
30	Tevin Coleman	RB18	ATL	  at  NYG	17	75	36.5	10.278271116431		
31	Julian Edelman	WR12	NE	  at  BUF	19	67	37.098214285714	6.6761299490752		
32	Alfred Morris	RB19	DAL	  at  PHI	13	86	37.321428571429	11.430859146028		
33	DeAngelo Williams	RB20	PIT	  vs.  SF	6	119	37.455357142857	15.377911102372		
34	Rashad Jennings	RB21	NYG	  vs.  ATL	13	88	39.258928571429	11.499025995798		
35	Emmanuel Sanders	WR13	DEN	  at  KC	20	70	39.276785714286	7.9924180828598		
36	Mike Evans	WR14	TB	  at  NO	14	87	38.486486486486	10.922218750327		
37	Latavius Murray	RB22	OAK	  vs.  BAL	17	93	40.080357142857	11.454988302714		
38	Frank Gore	RB23	IND	  vs.  NYJ	17	84	40.339285714286	11.026391693365		
39	Bishop Sankey	RB24	TEN	  at  CLE	3	104	42.455357142857	12.729246690241		
40	Danny Woodhead	RB25	SD	  at  CIN	17	93	45.357142857143	13.152849462363		
41	John Brown	WR15	ARI	  at  CHI	28	94	45.625	10.754670912147		
42	Jimmy Graham	TE2	SEA	  at  GB	11	76	45.776785714286	13.798104050291		
43	Steve Smith	WR16	BAL	  at  OAK	18	87	46.135135135135	11.013085162731		
