 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  vs.  JAC	1	1	1	0		
2	Travis Kelce	KC	  at  GB	2	12	2.6423357664234	1.1697977008797		
3	Jimmy Graham	SEA	  vs.  CHI	2	12	3.7883211678832	1.9272561219581		
4	Greg Olsen	CAR	  vs.  NO	2	10	3.7883211678832	1.3798902787985		
5	Tyler Eifert	CIN	  at  BAL	3	13	5.4452554744526	1.5563372123915		
6	Jordan Reed	WAS	  at  NYG	2	19	6.1818181818182	2.0106465936404		
7	Martellus Bennett	NE	  vs.  JAC	4	18	8.2444444444444	2.6707376333464		
8	Jason Witten	DAL	  vs.  ATL	3	24	8.8814814814815	3.259292929119		
9	Kyle Rudolph	MIN	  vs.  SD	4	20	10.448529411765	2.9600771376604		
10	Jordan Cameron	MIA	  vs.  BUF	2	45	11.788321167883	4.1879748898332		
11	Delanie Walker	TEN	  vs.  IND	5	24	11.81679389313	3.7453309900055		
12	Eric Ebron	DET	  vs.  DEN	5	24	14.65671641791	3.6632594523325		
13	Crockett Gillmore	BAL	  vs.  CIN	6	26	15.02962962963	3.1924465034892		
14	Jared Cook	GB	  vs.  KC	5	27	15.529850746269	4.9167552376822		
15	Coby Fleener	NO	  at  CAR	4	28	15.534351145038	5.1293165920154		
16	Vernon Davis	FA		6	25	15.751937984496	3.0142581273291		
17	Zach Ertz	PHI	  at  NYJ	8	24	15.954887218045	3.0849249309157		
18	Larry Donnell	NYG	  vs.  WAS	8	28	17.65873015873	3.3432298289365		
19	Richard Rodgers	GB	  vs.  KC	8	29	19.314960629921	3.0344499362772		
20	Charles Clay	BUF	  at  MIA	8	26	19.5	2.9955094596874		
21	Ladarius Green	PIT	  at  STL	6	44	16.513513513514	7.0619713258108		
22	Owen Daniels	FA		6	30	22.043859649123	3.2670345770546		
23	Gavin Escobar	DAL	  vs.  ATL	11	43	23.940594059406	4.6155608139522		
24	Gary Barnidge	CLE	  vs.  OAK	14	33	24.623376623377	3.678787776905		
25	Jacob Tamme	ATL	  at  DAL	15	32	24.940594059406	3.3145995148921		
26	Scott Chandler	FA		17	37	25.680412371134	3.0647526993708		
27	Darren Fells	ARI	  vs.  SF	18	40	26.773333333333	4.2507202004157		
28	Marcedes Lewis	JAC	  at  NE	16	42	29.918918918919	4.5045225224865		
29	Dwayne Allen	IND	  at  TEN	19	26	21.875	2.3684119151871		
30	Luke Stocker	TB	  at  HOU	18	57	37.363636363636	10.011563562135		
31	Anthony Fasano	TEN	  vs.  IND	19	41	27.884057971014	4.0091787148559		
32	Virgil Green	DEN	  at  DET	20	50	31.459016393443	5.6816465244891		
33	Brandon Myers	TB	  at  HOU	20	45	29.769230769231	4.9326829359635		
34	Benjamin Watson	BAL	  vs.  CIN	20	35	27.393258426966	2.7747577180521		
35	Mychal Rivera	OAK	  at  CLE	21	37	27.847826086957	3.3098495388392		
36	Garrett Graham	DEN	  at  DET	22	43	30.833333333333	5.5742463367008		
37	Lance Kendricks	LA	  	22	39	27.58064516129	4.2561090328956		
38	Josh Hill	NO	  at  CAR	23	50	32.404761904762	7.7060876486108		
39	Brent Celek	PHI	  at  NYJ	25	59	36.95	8.2065522602369		
40	Jeff Cumberland	FA		25	41	32.590909090909	3.9040665385198		
41	Luke Willson	SEA	  vs.  CHI	26	46	38.785714285714	4.95953009624		
42	John Phillips	FA		27	53	33.333333333333	7.3409051818484		
43	Jermaine Gresham	ARI	  vs.  SF	28	51	38.6	6.3224467837486		
44	Tim Wright	DET	  vs.  DEN	29	66	43.75	13.899190623918		
45	Rob Housler	CHI	  at  SEA	29	62	40	11.676186592091		
46	Garrett Celek	SF	  at  ARI	30	50	39.5	8.351646544245		
47	Ed Dickson	CAR	  vs.  NO	31	54	44.888888888889	6.8709443705512		
48	Maxx Williams	BAL	  vs.  CIN	31	53	39.157894736842	5.5370822441421		
49	Clive Walford	OAK	  at  CLE	32	48	39.666666666667	3.8930136855084		
50	Daniel Fells	FA		33	50	41.666666666667	5.3748384988657		
51	James O'Shaughnessy	KC	  at  GB	33	47	42.25	5.6069153730015		
52	Jim Dray	BUF	  at  MIA	34	56	46.2	8.1829090181915		
53	Rhett Ellison	MIN	  vs.  SD	36	58	51.6	8.0647380614624		
54	Levine Toilolo	ATL	  at  DAL	37	61	46	8.8665317128731		
55	Jake Stoneburner	MIA	  vs.  BUF	37	46	41.5	4.5		
56	Kellen Davis	NYJ	  vs.  PHI	38	63	45.9	7.687002016391		
57	Derek Carrier	WAS	  at  NYG	39	56	49.428571428571	6.2302749963876		
58	Darcy Johnson	STL	  vs.  PIT	40	59	49.5	9.5		
59	Clay Harbor	NE	  vs.  JAC	40	53	44	3.7416573867739		
60	Vance McDonald	SF	  at  ARI	42	61	54	6.4807406984079		
61	C.J. Fiedorowicz	HOU	  vs.  TB	43	57	48.75	4.8412291827593		
62	Malcolm Johnson	CLE	  vs.  OAK	44	46	45	1		
63	Andrew Quarless	FA		45	58	51.142857142857	4.5490523794545		
64	Jack Doyle	IND	  at  TEN	47	60	55.333333333333	5.9066817155565		
65	Blake Bell	SF	  at  ARI	48	61	54.5	6.0207972893961		
66	Zach Miller	FA		49	51	50	1		
67	Ryan Hewitt	CIN	  at  BAL	53	56	54.5	1.5		
68	Matt Spaeth	PIT	  at  STL	54	73	63.5	9.5		
69	Sean Ryan	TEN	  vs.  IND	56	62	59	3		
