 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Denver Broncos	DEN	  at  OAK	1	9	1.6209677419355	1.4289221176517		
2	Arizona Cardinals	ARI	  at  DET	1	11	3.1935483870968	2.0894412718006		
3	Buffalo Bills	BUF	  at  TEN	1	21	5.0161290322581	3.428965495663		
4	Green Bay Packers	GB	  vs.  STL	1	15	5.4435483870968	2.496133847201		
5	Seattle Seahawks	SEA	  at  CIN	1	27	7.4193548387097	4.4885100160757		
6	Cincinnati Bengals	CIN	  vs.  SEA	1	21	7.9112903225806	3.4407709581837		
7	New York Giants	NYG	  vs.  SF	1	19	7.5409836065574	3.5254287984366		
8	Baltimore Ravens	BAL	  vs.  CLE	1	22	8.1451612903226	3.9075888704465		
9	New England Patriots	NE	  at  DAL	1	15	8.0840336134454	3.4896722340918		
10	Kansas City Chiefs	KC	  vs.  CHI	2	18	9.4471544715447	3.522755878022		
11	Atlanta Falcons	ATL	  vs.  WAS	1	20	10.642276422764	3.0818906701005		
12	Houston Texans	HOU	  vs.  IND	1	30	10.756302521008	4.5889278265796		
13	Jacksonville Jaguars	JAC	  at  TB	1	26	13.474576271186	4.5243444405863		
14	Indianapolis Colts	IND	  at  HOU	7	29	14.495798319328	3.5358285006793		
15	San Diego Chargers	SD	  vs.  PIT	2	26	14.307692307692	4.6675118986596		
16	Philadelphia Eagles	PHI	  vs.  NO	6	25	15.333333333333	3.0997075885481		
17	Cleveland Browns	CLE	  at  BAL	8	26	17.394736842105	2.8795053822727		
18	Pittsburgh Steelers	PIT	  at  SD	10	27	17.87610619469	2.6810800338697		
19	Los Angeles Rams	LA	  	2	28	17.869158878505	4.4091750391836		
20	Tampa Bay Buccaneers	TB	  vs.  JAC	4	26	17.582524271845	4.1676616149574		
21	Detroit Lions	DET	  vs.  ARI	6	27	18.571428571429	4.5029594702739		
22	Tennessee Titans	TEN	  vs.  BUF	7	28	19.476923076923	4.7364631150508		
23	Oakland Raiders	OAK	  vs.  DEN	8	28	22.035087719298	4.9060110365297		
24	Washington Redskins	WAS	  at  ATL	11	28	22.728813559322	3.7679761616908		
25	San Francisco 49ers	SF	  at  NYG	9	28	22.314814814815	4.3835723385371		
26	New Orleans Saints	NO	  at  PHI	16	28	22.509803921569	2.851711209835		
27	Chicago Bears	CHI	  at  KC	12	28	23.04347826087	3.7180904503997		
28	Dallas Cowboys	DAL	  vs.  NE	20	28	25.864864864865	2.1705916762445		
29	New York Jets	NYJ	  	27	27	27	0		
30	Carolina Panthers	CAR	  	28	28	28	0		
